ID,製品カテゴリ,品番,管理番号,シリーズカテゴリ,シリーズ,シェイプ,,サイズ,,,,,,商品分類（1）,商品分類（2）,画像調整,,金額,製品詳細ページURL,受賞アイコン,,機能アイコン,,,,,,,,,カラー（単色）,,,,,,,,,カラー
,,,,,,,,テキスト,横幅（W）,奥行き（H）,深さ（D）,ボウル横幅（B-W),ボウル奥行,,,,,,,IF DESIGN AWARD,Reddot award,ACTIVE WAVE,COMFORT GLIDE,COMFORT WAVE,GYROSTREAM,HEAT PROTECT,MINI UNIT,SAFETY THERMO,SOFT FLOW,WARM SPA,MBL,MW,MBE,MGR,FG,MO,SR,AB,W,DEFAULT
SYSTEM_ID,PRODUCT_TYPE,PRODUCT_ID,COMBINATION_ID,SERIES_CATEGORY,SERIES,SHAPE_TEXT,SHAPE,SIZE,SIZE_W,SIZE_H,SIZE_D,SIZE_B-W,SIZE_B-H,CATEGORY_1,CATEGORY_2,IS_CHANGE_SERIES,IS_SEPARETE_COUNTER,PRICE,PRODUCT_URL,AWARD_01,AWARD_02,TECH_01,TECH_02,TECH_03,TECH_04,TECH_05,TECH_06,TECH_07,TECH_08,TECH_09,COLOUR_MBL,COLOUR_MW,COLOUR_MBE,COLOUR_MGR,COLOUR_FG,COLOUR_MO,COLOUR_SR,COLOUR_ABU,COLOUR_W,COLOUR_DEFAULT
48,lavatory,L367,,,,Vessel inset：Round,vessel_inset,,500,155,500,,,R,inset,,,,,,,,,,,,,,,,,,,,,,,,1,W
50,lavatory,LT480,,,,Self rim：Round,self_rimming,,495,50,385,,,R,outset,,1,,,,,,,,,,,,,,,,,,,,,,1,W
51,lavatory,LW501,,,,Self rim：Round,self_rimming,,508,25,432,,,R,inset,,,,,,,,,,,,,,,,,,,,,,,,1,W
54,lavatory,L762,,,,Self rim：Round,self_rimming,,530,15,450,,,R,outset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
56,lavatory,LW717,,,,Semi-Reccesed：Square,semi_reccesed,,500,75,450,,,S,inset,,,,,,,,,,,,,,,,,,,,,,,,1,W
57,lavatory,LW713,,,,Semi-Reccesed：Square,semi_reccesed,,600,75,500,,,S,inset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
59,lavatory,LW647,,,,Semi-Reccesed：Square,semi_reccesed,,520,87,420,,,S,inset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
60,lavatory,LW641,,,,Semi-Reccesed：Square,semi_reccesed,,505,115,505,,,S,inset,,,,,,,,,,,,,,,,,,,,,,,,1,W
61,lavatory,LT533R,,,,Semi-Reccesed：Round,semi_reccesed,,430,40,430,,,R,outset,,1,,,,,,,,,,,,,,,,,,,,,,1,W
62,lavatory,L983B,,,,Semi-Reccesed：Round,semi_reccesed,,550,32,430,,,R,inset,,,,,,,,,,,,,,,,,,,,,,,,1,W
