ID,製品カテゴリ,品番,管理番号,シリーズカテゴリ,シリーズ,シェイプ,,サイズ,,,,商品分類（1）,商品分類（2）,画像調整,,Faucet一覧表示制御,,仕様テキスト,注釈テキスト,金額,製品詳細ページURL,受賞アイコン,,機能アイコン,,,,,,,,,,,カラー（単色）,,,,,,,,,,,,,カラー（バイカラー）,,,,,,,,カラー
,,,,,,,,テキスト,横幅（W）,奥行き（H）,深さ（D）,,,,,,,,,,,IF DESIGN AWARD,Reddot award,ACTIVE WAVE,COMFORT GLIDE,COMFORT WAVE,GYROSTREAM,HEAT PROTECT,MINI UNIT,SAFETY THERMO,SOFT FLOW,WARM SPA,ECOPOWER,EWATER,PN,BN,PFG,BFG,PRG,BRG,PBR,BBR,PC,PBL,BBL,MBL,W,ZA：PN-BN,ZA：PC-BFG,ZA：PC-BRG,ZA：PC-BN,GF：BN-PN,GF：BBL-PBL,GF：BFG-PFG,GF：BRG-PRG,DEFAULT
SYSTEM_ID,PRODUCT_TYPE,PRODUCT_ID,COMBINATION_ID,SERIES_CATEGORY,SERIES,SHAPE_TEXT,SHAPE,SIZE,SIZE_W,SIZE_H,SIZE_D,CATEGORY_1,CATEGORY_2,IS_CHANGE_SERIES,IS_SEPARETE_COUNTER,HIDE_LIST,LIST_DISP_PRODUCT_ID,DESCRIPTION,EXPLAIN,PRICE,PRODUCT_URL,AWARD_01,AWARD_02,TECH_01,TECH_02,TECH_03,TECH_04,TECH_05,TECH_06,TECH_07,TECH_08,TECH_09,TECH_10,TECH_11,COLOUR_PN,COLOUR_BN,COLOUR_PFG,COLOUR_BFG,COLOUR_PRG,COLOUR_BRG,COLOUR_PBR,COLOUR_BBR,COLOUR_PC,COLOUR_PBL,COLOUR_BBL,COLOUR_MBL,COLOUR_W,COLOUR_PN-BN,COLOUR_PC-BFG,COLOUR_PC-BRG,COLOUR_PC-BN,COLOUR_BN-PN,COLOUR_BBL-PBL,COLOUR_BFG-PFG,COLOUR_BRG-PRG,COLOUR_DEFAULT
148,faucet,TLG10305,,G,GB,Single W/ pop-up,single_w_popup,Tall,,,,tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2020,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PC
149,faucet,TLG10302,,G,GB,single W/O pop-up,single_wo_popup,Short,,,,short,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2020,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PC
150,faucet,TLG10304,,G,GB,single W/O pop-up,single_wo_popup,Semi-Tall,,,,semi-tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2020,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PC
151,faucet,TLG10306,,G,GB,single W/O pop-up,single_wo_popup,Tall,,,,tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2020,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PC
152,faucet,TLG10307,,G,GB,Wall Mount,wallmount,Short,,,,short,,,,,,,,,https://www.toto.com/en/gb_faucet/,,,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PC
153,faucet,TLG10308,,G,GB,Wall Mount,wallmount,Long,,,,long,,,,,,,,,https://www.toto.com/en/gb_faucet/,,,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PC
154,faucet,TLG10201,,G,GB,2 handle,handle,,,,,,,,,,,,,,https://www.toto.com/en/gb_faucet/,,,,,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PC
155,faucet,TLG11301,,G,GF,Single W/ pop-up,single_w_popup,Short,,,,short,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2020,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,1,,1,,PC
156,faucet,TLG11303,,G,GF,Single W/ pop-up,single_w_popup,Semi-Tall,,,,semi-tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2020,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,1,,1,,PC
157,faucet,TLG11305,,G,GF,Single W/ pop-up,single_w_popup,Tall,,,,tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2020,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,1,,1,,PC
158,faucet,TLG11302,,G,GF,single W/O pop-up,single_wo_popup,Short,,,,short,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2020,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,1,,1,,PC
159,faucet,TLG11304,,G,GF,single W/O pop-up,single_wo_popup,Semi-Tall,,,,semi-tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2020,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,1,,1,,PC
160,faucet,TLG11306,,G,GF,single W/O pop-up,single_wo_popup,Tall,,,,tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2020,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,1,,1,,PC
161,faucet,TLG11307,,G,GF,Wall Mount,wallmount,Short,,,,short,,,,,,,,,https://www.toto.com/en/gb_faucet/,,,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,1,,1,,PC
162,faucet,TLG11308,,G,GF,Wall Mount,wallmount,Long,,,,long,,,,,,,,,https://www.toto.com/en/gb_faucet/,,,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,1,,1,,PC
163,faucet,TLG11201,,G,GF,2 handle,handle,,,,,,,,,,,,,,https://www.toto.com/en/gb_faucet/,,,,,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,1,,1,,PC
164,faucet,TLG04301,,G,GA,Single W/ pop-up,single_w_popup,Short,,,,short,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2018,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PN
165,faucet,TLG04304,,G,GA,Single W/ pop-up,single_w_popup,Semi-Tall,,,,semi-tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2018,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PN
166,faucet,TLG04307,,G,GA,Single W/ pop-up,single_w_popup,Tall,,,,tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2018,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PN
167,faucet,TLG04303,,G,GA,single W/O pop-up,single_wo_popup,Short,,,,short,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2018,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PN
168,faucet,TLG04306,,G,GA,single W/O pop-up,single_wo_popup,Semi-Tall,,,,semi-tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2018,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PN
169,faucet,TLG04308,,G,GA,single W/O pop-up,single_wo_popup,Tall,,,,tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2018,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PN
170,faucet,TLG04309,,G,GA,Wall Mount,wallmount,Short,,,,short,,,,,,,,,https://www.toto.com/en/gb_faucet/,,,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PN
171,faucet,TLG04310,,G,GA,Wall Mount,wallmount,Long,,,,long,,,,,,,,,https://www.toto.com/en/gb_faucet/,,,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PN
172,faucet,TLG04201,,G,GA,2 handle,handle,,,,,,,,,,,,,,https://www.toto.com/en/gb_faucet/,,,,,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PN
174,faucet,TLG01301,,G,GO,Single W/ pop-up,single_w_popup,Short,,,,short,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2017_bob,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,BN
175,faucet,TLG01304,,G,GO,Single W/ pop-up,single_w_popup,Semi-Tall,,,,semi-tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2017_bob,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,BN
176,faucet,TLG01307,,G,GO,Single W/ pop-up,single_w_popup,Tall,,,,tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2017_bob,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,BN
177,faucet,TLG01303,,G,GO,single W/O pop-up,single_wo_popup,Short,,,,short,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2017_bob,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,BN
178,faucet,TLG01306,,G,GO,single W/O pop-up,single_wo_popup,Semi-Tall,,,,semi-tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2017_bob,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,BN
179,faucet,TLG01308,,G,GO,single W/O pop-up,single_wo_popup,Tall,,,,tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2017_bob,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,BN
180,faucet,TLG01310,,G,GO,Wall Mount,wallmount,Short,,,,short,,,,,,,,,https://www.toto.com/en/gb_faucet/,,,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,BN
181,faucet,TLG01311,,G,GO,Wall Mount,wallmount,Long,,,,long,,,,,,,,,https://www.toto.com/en/gb_faucet/,,,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,BN
