ID,製品カテゴリ,品番,管理番号,シリーズカテゴリ,シリーズ,シェイプ,,サイズ,,,,商品分類（1）,商品分類（2）,金額,製品詳細ページURL,受賞アイコン,,機能アイコン,,,,,,,,,,,,カラー（単色）,,,,,,,,,,,,,カラー（バイカラー）,,,,,,,,カラー
,,,,,,,,テキスト,横幅（W）,奥行き（H）,深さ（D）,,,,,IF DESIGN AWARD,Reddot award,ACTIVE WAVE,COMFORT GLIDE,COMFORT WAVE (over head shower),GYROSTREAM,HEAT PROTECT,MINI UNIT,SAFETY THERMO,SOFT FLOW,WARM SPA (over head shower),WARM SPA (hand shower),COMFORT WAVE (hand shower),INTENSE WAVE,PN,BN,PFG,BFG,PRG,BRG,PBR,BBR,PC,PBL,BBL,MBL,W,ZA：PN-BN,ZA：PC-BFG,ZA：PC-BRG,ZA：PC-BN,GF：BN-PN,GF：BBL-PBL,GF：BFG-PFG,GF：BRG-PRG,DEFAULT
SYSTEM_ID,PRODUCT_TYPE,PRODUCT_ID,COMBINATION_ID,SERIES_CATEGORY,SERIES,SHAPE_TEXT,SHAPE,SIZE,SIZE_W,SIZE_H,SIZE_D,CATEGORY_1,CATEGORY_2,PRICE,PRODUCT_URL,AWARD_01,AWARD_02,TECH_01,TECH_02,TECH_03,TECH_04,TECH_05,TECH_06,TECH_07,TECH_08,TECH_09,TECH_10,TECH_11,TECH_12,COLOUR_PN,COLOUR_BN,COLOUR_PFG,COLOUR_BFG,COLOUR_PRG,COLOUR_BRG,COLOUR_PBR,COLOUR_BBR,COLOUR_PC,COLOUR_PBL,COLOUR_BBL,COLOUR_MBL,COLOUR_W,COLOUR_PN-BN,COLOUR_PC-BFG,COLOUR_PC-BRG,COLOUR_PC-BN,COLOUR_BN-PN,COLOUR_BBL-PBL,COLOUR_BFG-PFG,COLOUR_BRG-PRG,COLOUR_DEFAULT
290,controller,TBV01406,MGR9940,G,,Round,R,,,,,handle,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
291,controller,TBV02401,MGS9940,G,,Square,S,,,,,handle,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
292,embedded-valve,TBN01001,VGS23,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
293,hand-shower,TBW01008,HGR11,G,,Round,R,,,,,1mode,,,https://www.toto.com/en/gb_faucet/,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
294,over-head-shower,TBW01003,OGR1W,G,,Round,R,,,,,wall,,,https://www.toto.com/en/gb_faucet/,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
295,slide-bar,TBW01015,ABR9,,,Round,R,,,,,long,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
296,controller,TBV01407,MGR9941,G,,Round,R,,,,,handle,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
297,controller,TBV02403,MGS9941,G,,Square,S,,,,,handle,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
298,embedded-valve,TBN01002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
299,hand-shower,TBW02005,HGS11,G,,Square,S,,,,,1mode,,,https://www.toto.com/en/gb_faucet/,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
300,over-head-shower,TBW02003,OGS1W,G,,Square,S,,,,,wall,,,https://www.toto.com/en/gb_faucet/,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
301,slide-bar,TBW01016,ABR6,,,Round,R,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
302,controller,TBV01408,MGR9942,G,,Round,R,,,,,handle,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
303,controller,TBV02404,MGS9942,G,,Square,S,,,,,handle,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
304,embedded-valve,TBN01104,VGR01,G,,Round,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
